delta t (sec),Ground Acceleration (in G)
9.33,.1755756E-02
9.34,.4842492E-02
9.35,.5983653E-02
9.36,.4783229E-02
9.37,.2802210E-02
9.38,.1885338E-02
9.39,.2130845E-02
9.4,.1899704E-02
9.41,.5320296E-03
9.42,-.8625953E-03
9.43,-.8071841E-03
9.44,.1661816E-02
9.45,.5197355E-02
9.46,.6734997E-02
9.47,.5058014E-02
9.48,.1640112E-02
9.49,-.1404980E-02
9.5,-.2502490E-02
9.51,-.1188215E-02
9.52,.7086466E-03
9.53,.1816591E-02
9.54,.2717478E-02
9.55,.3836854E-02
9.56,.4595051E-02
9.57,.3566040E-02
9.58,.8925517E-03
9.59,-.1855582E-02
9.6,-.3496128E-02
9.61,-.3427806E-02
9.62,-.1862769E-02
9.63,-.8363358E-04
9.64,.7977151E-03
9.65,.5848146E-03
9.66,-.1258145E-03
9.67,-.9582666E-03
9.68,-.1992798E-02
9.69,-.2882787E-02
9.7,-.2556771E-02
9.71,-.9230324E-03
9.72,.1002439E-02
9.73,.2094267E-02
9.74,.1538284E-02
9.75,-.5584122E-03
9.76,-.3151282E-02
9.77,-.4968100E-02
9.78,-.5637986E-02
9.79,-.5595097E-02
9.8,-.5237028E-02
9.81,-.4215024E-02
9.82,-.2394116E-02
9.83,-.1444861E-03
9.84,.2035491E-02
9.85,.3105696E-02
9.86,.2317286E-02
9.87,.5322068E-03
9.88,-.7434045E-03
9.89,-.7990479E-03
9.9,-.5525467E-03
9.91,-.1071900E-02
9.92,-.2278004E-02
9.93,-.3490673E-02
9.94,-.4077854E-02
9.95,-.3863972E-02
9.96,-.2919224E-02
9.97,-.1681307E-02
9.98,-.7598954E-03
9.99,-.4196105E-03
10,-.6525581E-03
10.01,-.1314403E-02
10.02,-.1983961E-02
10.03,-.2203251E-02
10.04,-.1773507E-02
10.05,-.8685982E-03
10.06,.1071622E-03
10.07,.4632963E-03
10.08,-.4476595E-03
10.09,-.2388654E-02
10.1,-.3858024E-02
